id,tab,name,department,category,upc,price,imageSearchUrl,approvedImageUrl
smoking-01402,smoking,BLINK TORCH MB01 SILVER,LIGHTERS,TORCH LIGHTERS,018505133550,20.0,https://www.google.com/search?tbm=isch&q=BLINK+TORCH+MB01+SILVER+018505133550+product+image,
smoking-01403,smoking,CLIPPER JET FLAME LIGHTERS,LIGHTERS,TORCH LIGHTERS,091585045821,2.49,https://www.google.com/search?tbm=isch&q=CLIPPER+JET+FLAME+LIGHTERS+091585045821+product+image,
smoking-01404,smoking,EAGLE EMOJI TORCH,LIGHTERS,TORCH LIGHTERS,853195000443,5.0,https://www.google.com/search?tbm=isch&q=EAGLE+EMOJI+TORCH+853195000443+product+image,
smoking-01405,smoking,EAGLE TORCH GUN ASSORTED,LIGHTERS,TORCH LIGHTERS,853195000139,6.99,https://www.google.com/search?tbm=isch&q=EAGLE+TORCH+GUN+ASSORTED+853195000139+product+image,
smoking-01406,smoking,MAVEN ALTER BLUE TORCH LIGHTER,LIGHTERS,TORCH LIGHTERS,810093291489,30.0,https://www.google.com/search?tbm=isch&q=MAVEN+ALTER+BLUE+TORCH+LIGHTER+810093291489+product+image,
smoking-01407,smoking,MAVEN ALTER PURPLE TORCH LIGHTER,LIGHTERS,TORCH LIGHTERS,810093291496,30.0,https://www.google.com/search?tbm=isch&q=MAVEN+ALTER+PURPLE+TORCH+LIGHTER+810093291496+product+image,
smoking-01408,smoking,YOCAN RED SERIES GAVIN TORCH LIGHTER BLUE,LIGHTERS,TORCH LIGHTERS,6974143941084,45.0,https://www.google.com/search?tbm=isch&q=YOCAN+RED+SERIES+GAVIN+TORCH+LIGHTER+BLUE+6974143941084+product+image,
smoking-01409,smoking,YOCAN RED SERIES GAVIN TORCH LIGHTER PINK,LIGHTERS,TORCH LIGHTERS,6974143941091,45.0,https://www.google.com/search?tbm=isch&q=YOCAN+RED+SERIES+GAVIN+TORCH+LIGHTER+PINK+6974143941091+product+image,
smoking-01410,smoking,YOCAN RED SERIES SLATE TORCH LIGHTER BLUE,LIGHTERS,TORCH LIGHTERS,6974143941039,45.0,https://www.google.com/search?tbm=isch&q=YOCAN+RED+SERIES+SLATE+TORCH+LIGHTER+BLUE+6974143941039+product+image,
smoking-01411,smoking,YOCAN RED SERIES SLATE TORCH LIGHTER SILVER,LIGHTERS,TORCH LIGHTERS,6974143940995,45.0,https://www.google.com/search?tbm=isch&q=YOCAN+RED+SERIES+SLATE+TORCH+LIGHTER+SILVER+6974143940995+product+image,
smoking-01412,smoking,ZENGAZ JET LIGHTER,LIGHTERS,TORCH LIGHTERS,840110700007,5.0,https://www.google.com/search?tbm=isch&q=ZENGAZ+JET+LIGHTER+840110700007+product+image,
smoking-01413,smoking,ZIPPO LIGHTERS GENUINE FLINT,LIGHTERS,ZIPPOS,041689200657,1.29,https://www.google.com/search?tbm=isch&q=ZIPPO+LIGHTERS+GENUINE+FLINT+041689200657+product+image,
smoking-01414,smoking,CATCHALL ASHTRAY,SMOKE'S,ASHTRAY,"814725025558,814725025596",20.0,https://www.google.com/search?tbm=isch&q=CATCHALL+ASHTRAY+814725025558%2C814725025596+product+image,
smoking-01415,smoking,FLY AND FRESH FISH ASHTRAY,SMOKE'S,ASHTRAY,810147831401,17.99,https://www.google.com/search?tbm=isch&q=FLY+AND+FRESH+FISH+ASHTRAY+810147831401+product+image,
smoking-01416,smoking,HAPPENIN HIPPO ASHTRAY,SMOKE'S,ASHTRAY,810147831418,17.99,https://www.google.com/search?tbm=isch&q=HAPPENIN+HIPPO+ASHTRAY+810147831418+product+image,
smoking-01417,smoking,JOKER ASHTRAY,SMOKE'S,ASHTRAY,810147831432,25.0,https://www.google.com/search?tbm=isch&q=JOKER+ASHTRAY+810147831432+product+image,
smoking-01418,smoking,GAMBLER CIGARETTE INJECTOR 100,SMOKE'S,CIGARETTE MACHINE,077170260688,10.0,https://www.google.com/search?tbm=isch&q=GAMBLER+CIGARETTE+INJECTOR+100+077170260688+product+image,
smoking-01419,smoking,GAMBLER CIGARETTE INJECTOR KING SIZE,SMOKE'S,CIGARETTE MACHINE,077170260398,10.0,https://www.google.com/search?tbm=isch&q=GAMBLER+CIGARETTE+INJECTOR+KING+SIZE+077170260398+product+image,
smoking-01420,smoking,BLAZY SUSAN 1 1/4 CONES RICE,SMOKE'S,CONES,810173280068,20.0,https://www.google.com/search?tbm=isch&q=BLAZY+SUSAN+1+1%2F4+CONES+RICE+810173280068+product+image,
smoking-01421,smoking,BLAZY SUSAN 53MM CONES RICE,SMOKE'S,CONES,810134929999,15.0,https://www.google.com/search?tbm=isch&q=BLAZY+SUSAN+53MM+CONES+RICE+810134929999+product+image,
smoking-01422,smoking,BLAZY SUSAN 98MM CONES RICE,SMOKE'S,CONES,810173280006,20.0,https://www.google.com/search?tbm=isch&q=BLAZY+SUSAN+98MM+CONES+RICE+810173280006+product+image,
smoking-01423,smoking,BLAZY SUSAN KING SIZE CONES RICE,SMOKE'S,CONES,810173280051,20.0,https://www.google.com/search?tbm=isch&q=BLAZY+SUSAN+KING+SIZE+CONES+RICE+810173280051+product+image,
