product_id,tab,product_name,upc,department,category,current_image_path,ak_wholesale_product_name,ak_image_url,notes
glass-00192,glass,ALEAF SPINNER KIT 'S',720053577372,GLASS,GLASS ACCESSORIES,,,,
glass-00193,glass,ALEAF SPINNER KIT 'UFO',720053584769,GLASS,GLASS ACCESSORIES,,,,
glass-00194,glass,ALEAF SPINNER KIT DRIZZLE,720053584349,GLASS,GLASS ACCESSORIES,,,,
glass-00195,glass,ALEAF SPINNER KIT SCREW,766129862416,GLASS,GLASS ACCESSORIES,,,,
glass-00196,glass,ALEAF SPINNER KIT TORNADO,766129862713,GLASS,GLASS ACCESSORIES,,,,
glass-00197,glass,ALEAF SPINNER KIT TOWER,609137687247,GLASS,GLASS ACCESSORIES,,,,
glass-00198,glass,ALEAF SPINNER KIT TOWER,766129868074,GLASS,GLASS ACCESSORIES,,,,
glass-00199,glass,ALEAF SPINNER KIT WHEEL,766129862126,GLASS,GLASS ACCESSORIES,,,,
glass-00200,glass,ALEAF SPINNER KIT WHEEL,766129862409,GLASS,GLASS ACCESSORIES,,,,
glass-00201,glass,ALEAF SPINNER KIT X 14 MALE/90 DEGREE,766129861891,GLASS,GLASS ACCESSORIES,,,,
glass-00202,glass,ALEAF SPINNER KIT Y,766129861983,GLASS,GLASS ACCESSORIES,,,,
glass-00203,glass,ALEAF SPINNER KIT Z 45 DEGREE,766129862041,GLASS,GLASS ACCESSORIES,,,,
glass-00204,glass,ALEAF SPINNER KIT Z 90 DEGREE,"766129861914,6505700000",GLASS,GLASS ACCESSORIES,,,,
glass-00205,glass,ALEAF SPINNER LAVA KIT 14MM,766129868104,GLASS,GLASS ACCESSORIES,,,,
glass-00206,glass,BRILL QUARTZ BANGER,9781326653408,GLASS,GLASS ACCESSORIES,,,,
glass-00207,glass,CHEECH DOWNSTEMS,6142500000,GLASS,GLASS ACCESSORIES,,,,
glass-00208,glass,CONVERTERS,6142300000,GLASS,GLASS ACCESSORIES,,,,
glass-00209,glass,DRAGON VORTEX BANGER 14MM,8000390196,GLASS,GLASS ACCESSORIES,,,,
glass-00210,glass,DROPDOWNS,06184501001,GLASS,GLASS ACCESSORIES,,,,
glass-00211,glass,GLIIZY QUARTZ BANGER SPINNER KIT,762851933738,GLASS,GLASS ACCESSORIES,,,,
glass-00212,glass,HIGH POINT GLASS BANGER 14MM,616430101073,GLASS,GLASS ACCESSORIES,,,,
glass-00213,glass,HIGH POINT GLASS BANGER 14MM,616430101134,GLASS,GLASS ACCESSORIES,,,,
glass-00214,glass,HONEY BEE HERB BANGER,7427106963009,GLASS,GLASS ACCESSORIES,,,,
glass-00215,glass,LOOSE TERP BALL,6234600000,GLASS,GLASS ACCESSORIES,,,,
glass-00216,glass,RECLAIM CATCHER 14MM,793585968376,GLASS,GLASS ACCESSORIES,,,,
glass-00217,glass,SPACE KING CROCODILE BANGER 14MM,8777209979223,GLASS,GLASS ACCESSORIES,,,,
glass-00218,glass,SPACE KING THERMOCHROMIC CORE REACTOR KIT,9320277779623,GLASS,GLASS ACCESSORIES,,,,
glass-00219,glass,SPACEKING 4MM THICK 45 DEGREE BANGER KIT,9320233379621,GLASS,GLASS ACCESSORIES,,,,
glass-00220,glass,WATER FOR YOUR PIPE,cwf06,GLASS,GLASS ACCESSORIES,,,,
glass-00221,glass,WHITE RHINO DOWNSTEMS,6142400000,GLASS,GLASS ACCESSORIES,,,,
glass-00222,glass,WHITE RHINO HYBRID DOWNSTEM,6447200000,GLASS,GLASS ACCESSORIES,,,,
glass-00223,glass,$25 FREE BOWL,6516200000,GLASS,HANDPIPE,,,,
glass-00224,glass,BUBBLER,101520b,GLASS,HANDPIPE,,,,
glass-00225,glass,BUBBLER,152025b,GLASS,HANDPIPE,,,,
glass-00226,glass,BUBBLER,253035b,GLASS,HANDPIPE,,,,
glass-00227,glass,BUBBLER,354045b,GLASS,HANDPIPE,,,,
glass-00228,glass,BUBBLER,404550b,GLASS,HANDPIPE,,,,
glass-00229,glass,BUBBLER,556065b,GLASS,HANDPIPE,,,,
glass-00230,glass,BUBBLER,6570bub,GLASS,HANDPIPE,,,,
glass-00231,glass,BUBBLER,8590b,GLASS,HANDPIPE,,,,
glass-00232,glass,BUBBLER $10,6264200000,GLASS,HANDPIPE,,,,
glass-00233,glass,BUBBLER $15,6304100000,GLASS,HANDPIPE,,,,
glass-00234,glass,BUBBLER $20,6327600000,GLASS,HANDPIPE,,,,
glass-00235,glass,BUBBLER $25,202530b,GLASS,HANDPIPE,,,,
glass-00236,glass,BUBBLER $30,6327400000,GLASS,HANDPIPE,,,,
glass-00237,glass,BUBBLER $35,6264600000,GLASS,HANDPIPE,,,,
glass-00238,glass,BUBBLER $40,6264700000,GLASS,HANDPIPE,,,,
glass-00239,glass,BUBBLER $55,505560b,GLASS,HANDPIPE,,,,
glass-00240,glass,HANDPIPE,030354010011,GLASS,HANDPIPE,,,,
glass-00241,glass,HANDPIPE,090100h,GLASS,HANDPIPE,,,,
glass-00242,glass,HANDPIPE,152025h,GLASS,HANDPIPE,,,,
glass-00243,glass,HANDPIPE,1520hp,GLASS,HANDPIPE,,,,
glass-00244,glass,HANDPIPE,202530H,GLASS,HANDPIPE,,,,
glass-00245,glass,HANDPIPE,253035h,GLASS,HANDPIPE,,,,
glass-00246,glass,HANDPIPE,"3035hp,303540h",GLASS,HANDPIPE,,,,
glass-00247,glass,HANDPIPE,3540hp,GLASS,HANDPIPE,,,,
glass-00248,glass,HANDPIPE,4045hp,GLASS,HANDPIPE,,,,
glass-00249,glass,HANDPIPE,4550hp,GLASS,HANDPIPE,,,,
glass-00250,glass,HANDPIPE,502207646334,GLASS,HANDPIPE,,,,
glass-00251,glass,HANDPIPE,5055hp,GLASS,HANDPIPE,,,,
glass-00252,glass,HANDPIPE,5560hp,GLASS,HANDPIPE,,,,
glass-00253,glass,HANDPIPE,7075hp,GLASS,HANDPIPE,,,,
glass-00254,glass,HANDPIPE,7580hp,GLASS,HANDPIPE,,,,
glass-00255,glass,HANDPIPE $10,06128401001,GLASS,HANDPIPE,,,,
glass-00256,glass,HANDPIPE $15,06128501001,GLASS,HANDPIPE,,,,
glass-00257,glass,HANDPIPE $20,06128601001,GLASS,HANDPIPE,,,,
glass-00258,glass,HANDPIPE $25,06115301001,GLASS,HANDPIPE,,,,
glass-00259,glass,HANDPIPE $30,061196010013,GLASS,HANDPIPE,,,,
glass-00260,glass,HANDPIPE $35,smallbowl0303540,GLASS,HANDPIPE,,,,
